"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 24, 2019","16.103","15.735","15.735","15.735","0.03K","4.55%"
"Jun 23, 2019","15.402","15.330","15.422","15.330","-","-3.86%"
"Jun 21, 2019","16.020","15.850","15.850","15.715","0.00K","-1.24%"
"Jun 20, 2019","16.221","15.650","15.865","15.650","0.16K","3.34%"
"Jun 19, 2019","15.697","15.340","15.480","15.340","0.00K","-0.22%"
"Jun 18, 2019","15.732","15.165","15.310","15.155","0.03K","1.03%"
"Jun 17, 2019","15.572","15.135","15.135","15.100","0.01K","5.17%"
"Jun 16, 2019","14.807","14.842","14.863","14.803","-","-4.76%"
"Jun 14, 2019","15.547","15.400","15.400","15.185","0.11K","-0.53%"
"Jun 13, 2019","15.630","15.100","15.175","15.065","0.05K","0.83%"
"Jun 12, 2019","15.501","15.240","15.240","15.240","0.02K","0.01%"
"Jun 11, 2019","15.500","15.100","15.110","15.100","0.00K","0.64%"
"Jun 10, 2019","15.402","15.055","15.055","15.055","0.00K","2.87%"
"Jun 09, 2019","14.973","15.008","15.008","14.953","-","-5.19%"
"Jun 07, 2019","15.792","15.480","15.480","15.470","0.05K","0.84%"
"Jun 06, 2019","15.661","15.175","15.175","15.175","0.02K","0.69%"
"Jun 05, 2019","15.554","15.300","15.380","15.300","0.00K","-0.08%"
"Jun 04, 2019","15.566","15.230","15.230","15.225","0.00K","0.17%"
"Jun 03, 2019","15.540","15.040","15.040","15.040","0.01K","6.42%"
"Jun 02, 2019","14.602","14.555","14.602","14.555","-","-5.02%"
"May 31, 2019","15.373","14.785","14.920","14.785","0.01K","0.33%"
"May 30, 2019","15.323","14.815","14.815","14.815","0.00K","0.56%"
"May 29, 2019","15.238","14.800","14.800","14.800","0.11K","0.44%"
"May 28, 2019","15.172","14.895","14.895","14.735","0.00K","4.12%"
"May 27, 2019","14.572","14.553","14.607","14.537","-","0.10%"
"May 26, 2019","14.557","14.545","14.562","14.545","-","-5.52%"
"May 24, 2019","15.408","14.860","14.860","14.855","0.18K","-0.48%"
"May 23, 2019","15.483","14.920","15.060","14.920","0.01K","1.06%"
"May 22, 2019","15.321","14.850","14.890","14.850","0.01K","0.24%"
"May 21, 2019","15.284","14.850","14.870","14.850","0.00K","-0.22%"
"May 20, 2019","15.318","14.805","14.805","14.805","0.15K","6.17%"
"May 19, 2019","14.428","14.390","14.428","14.390","-","-5.45%"
"May 17, 2019","15.259","14.980","14.980","14.830","0.09K","-0.99%"
"May 16, 2019","15.412","15.115","15.115","14.835","0.44K","-1.73%"
"May 15, 2019","15.684","15.235","15.235","15.235","0.00K","-0.04%"
"May 14, 2019","15.691","15.095","15.130","15.095","0.00K","0.19%"
"May 13, 2019","15.662","15.250","15.250","15.250","0.00K","6.13%"
"May 12, 2019","14.758","14.780","14.793","14.758","-","-5.89%"
"May 10, 2019","15.681","15.105","15.115","15.065","0.05K","0.10%"
"May 09, 2019","15.665","15.165","15.165","15.030","0.10K","-0.57%"
"May 08, 2019","15.755","15.265","15.275","15.165","0.06K","-0.48%"
"May 07, 2019","15.831","15.200","15.255","15.145","0.06K","-0.09%"
"May 06, 2019","15.845","15.450","15.470","15.370","0.00K","6.02%"
"May 05, 2019","14.945","14.953","14.988","14.932","-","-6.02%"
"May 03, 2019","15.902","14.965","15.295","14.965","0.18K","2.43%"
"May 02, 2019","15.525","15.100","15.100","15.095","0.01K","-0.71%"
"May 01, 2019","15.636","15.310","15.310","15.010","0.08K","-1.58%"
"Apr 30, 2019","15.887","15.345","15.360","15.195","0.03K","0.35%"
"Apr 29, 2019","15.831","15.345","15.355","15.245","0.02K","5.46%"
"Apr 28, 2019","15.012","15.035","15.035","15.012","-","-6.16%"
"Apr 26, 2019","15.997","15.510","15.510","15.510","0.05K","0.83%"
"Apr 25, 2019","15.866","15.550","15.550","15.550","0.00K","-0.27%"
"Apr 24, 2019","15.909","15.245","15.285","15.245","0.03K","0.76%"
"Apr 23, 2019","15.789","15.200","15.215","15.200","0.00K","-1.18%"
"Apr 22, 2019","15.978","15.440","15.440","15.425","0.14K","6.65%"
"Apr 21, 2019","14.982","14.955","14.988","14.955","-","0.11%"
"Apr 19, 2019","14.965","14.965","14.965","14.965","-","-6.26%"
"Apr 18, 2019","15.964","15.555","15.555","15.555","0.00K","0.12%"
"Apr 17, 2019","15.945","15.385","15.385","15.360","0.03K","0.07%"
"Apr 16, 2019","15.934","15.340","15.340","15.340","0.02K","-0.41%"
"Apr 15, 2019","15.999","15.330","15.330","15.330","0.02K","7.25%"
"Apr 14, 2019","14.918","14.928","14.950","14.912","-","-6.69%"
"Apr 12, 2019","15.987","15.385","15.420","15.385","0.02K","0.64%"
