"Date","Close","Open","High","Low","Change %"
"2020-Nov-04","1903.21","1908.59","1916.68","1883.15","-0.27%"
"2020-Nov-03","1908.36","1895.80","1910.71","1886.81","0.70%"
"2020-Nov-02","1895.10","1878.59","1896.12","1873.21","0.91%"
"2020-Oct-30","1877.95","1868.24","1889.85","1864.64","0.58%"
"2020-Oct-29","1867.13","1876.94","1885.42","1859.67","-0.53%"
"2020-Oct-28","1877.06","1908.05","1911.03","1869.59","-1.56%"
"2020-Oct-27","1906.83","1902.19","1911.34","1897.47","0.27%"
"2020-Oct-26","1901.69","1902.34","1908.55","1890.90","0.05%"
"2020-Oct-23","1900.79","1904.24","1914.30","1894.54","-0.17%"
"2020-Oct-22","1904.04","1924.34","1926.00","1894.80","-1.06%"
"2020-Oct-21","1924.49","1908.65","1931.41","1907.94","0.95%"
"2020-Oct-20","1906.39","1904.24","1914.20","1894.74","0.11%"
"2020-Oct-19","1904.27","1899.94","1918.59","1897.09","0.28%"
"2020-Oct-16","1898.97","1907.95","1914.06","1897.59","-0.46%"
"2020-Oct-15","1907.82","1900.31","1909.22","1889.46","0.36%"
"2020-Oct-14","1900.89","1891.90","1913.03","1882.44","0.53%"
"2020-Oct-13","1890.82","1922.42","1925.73","1886.59","-1.62%"
"2020-Oct-12","1921.95","1930.50","1933.45","1918.19","-0.39%"
"2020-Oct-09","1929.43","1894.19","1930.83","1893.32","1.92%"
"2020-Oct-08","1893.09","1887.40","1900.73","1881.86","0.31%"
"2020-Oct-07","1887.22","1878.84","1898.31","1873.05","0.54%"
"2020-Oct-06","1877.13","1913.28","1921.10","1874.57","-1.87%"
"2020-Oct-05","1912.90","1902.24","1918.74","1886.81","0.75%"
"2020-Oct-02","1898.70","1905.65","1917.28","1889.57","-0.33%"
"2020-Oct-01","1905.05","1885.80","1912.09","1884.48","1.04%"
"2020-Sep-30","1885.44","1897.81","1902.39","1881.31","-0.65%"
"2020-Sep-29","1897.69","1881.40","1899.24","1875.56","0.90%"
"2020-Sep-28","1880.85","1859.00","1883.39","1849.19","1.12%"
"2020-Sep-25","1860.05","1868.61","1875.28","1852.59","-0.43%"
"2020-Sep-24","1868.04","1863.42","1877.30","1848.45","0.24%"
"2020-Sep-23","1863.55","1900.20","1905.56","1855.77","-1.88%"
"2020-Sep-22","1899.28","1912.80","1919.99","1894.93","-0.69%"
"2020-Sep-21","1912.57","1949.55","1955.75","1883.21","-1.90%"
"2020-Sep-18","1949.69","1943.87","1960.20","1941.79","0.37%"
"2020-Sep-17","1942.60","1959.99","1963.48","1932.99","-0.85%"
"2020-Sep-16","1959.32","1956.19","1973.63","1949.89","0.19%"
"2020-Sep-15","1955.52","1957.31","1972.35","1948.64","-0.04%"
"2020-Sep-14","1956.37","1941.05","1962.52","1937.46","0.77%"
"2020-Sep-11","1941.50","1955.20","1957.95","1937.42","-0.64%"
"2020-Sep-10","1954.07","1946.06","1966.50","1941.42","0.38%"
"2020-Sep-09","1946.66","1932.26","1950.95","1920.20","0.81%"
"2020-Sep-08","1930.93","1930.05","1940.84","1906.67","0.11%"
"2020-Sep-07","1928.82","1931.24","1941.44","1924.57","-0.19%"
"2020-Sep-04","1932.45","1931.51","1942.25","1916.67","0.10%"
"2020-Sep-03","1930.52","1943.06","1951.19","1921.99","-0.62%"
"2020-Sep-02","1942.62","1969.75","1974.45","1932.76","-1.40%"
"2020-Sep-01","1970.14","1967.63","1992.38","1963.20","0.02%"
"2020-Aug-31","1969.75","1965.40","1976.47","1954.58","0.27%"
"2020-Aug-28","1964.49","1930.04","1973.91","1923.70","1.84%"
"2020-Aug-27","1928.91","1953.31","1976.60","1910.22","-1.26%"
"2020-Aug-26","1953.45","1929.07","1954.98","1902.77","1.32%"
"2020-Aug-25","1927.94","1933.06","1937.69","1914.42","-0.23%"
"2020-Aug-24","1932.45","1939.24","1961.89","1924.01","-0.36%"
"2020-Aug-21","1939.40","1947.44","1956.08","1911.65","-0.16%"
"2020-Aug-20","1942.60","1929.53","1955.44","1925.12","0.68%"
"2020-Aug-19","1929.54","2001.19","2006.68","1924.82","-3.57%"
"2020-Aug-18","2000.95","1985.89","2015.45","1977.84","0.78%"
"2020-Aug-17","1985.53","1947.04","1990.65","1929.74","2.15%"
"2020-Aug-14","1943.76","1953.70","1962.84","1932.65","-0.48%"
